t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
34.02,2026-08-30 12:55:52,-25.40,4.93,-15.60,0.0,grandpas_village,9.36,clear,26.562,5.043,0.00,13.70,world
34.52,2026-08-30 12:55:53,-25.40,4.93,-15.60,0.0,grandpas_village,9.38,clear,26.562,5.043,0.00,13.70,world
35.02,2026-08-30 12:55:53,-25.40,4.93,-15.60,0.0,grandpas_village,9.40,clear,26.197,7.949,0.00,13.70,world
35.52,2026-08-30 12:55:54,-25.40,4.93,-15.60,0.0,grandpas_village,9.42,clear,26.197,7.949,0.00,13.70,world
36.02,2026-08-30 12:55:54,-25.40,4.93,-15.60,0.0,grandpas_village,9.44,clear,21.900,8.054,0.00,13.70,world
36.52,2026-08-30 12:55:55,-25.40,4.93,-15.60,0.0,grandpas_village,9.46,clear,21.900,8.054,0.00,13.70,world
37.02,2026-08-30 12:55:55,-25.40,4.93,-15.60,0.0,grandpas_village,9.48,clear,24.166,7.001,0.00,13.70,world
37.52,2026-08-30 12:55:56,-25.40,4.93,-15.60,0.0,grandpas_village,9.50,clear,24.166,7.001,0.00,13.70,world
38.02,2026-08-30 12:55:56,-25.40,4.93,-15.60,0.0,grandpas_village,9.52,clear,23.575,10.028,0.00,13.70,world
38.52,2026-08-30 12:55:57,-25.40,4.93,-15.60,0.0,grandpas_village,9.54,clear,23.575,10.028,0.00,13.70,world
39.02,2026-08-30 12:55:57,-25.40,4.93,-15.60,0.0,grandpas_village,9.56,clear,30.520,9.676,0.00,13.70,world
39.52,2026-08-30 12:55:58,-25.40,4.93,-15.60,0.0,grandpas_village,9.58,clear,30.520,9.676,0.00,13.70,world
40.02,2026-08-30 12:55:58,-25.40,4.93,-15.60,0.0,grandpas_village,9.60,clear,29.591,8.538,0.00,13.70,world
40.52,2026-08-30 12:55:59,-25.40,4.93,-15.60,0.0,grandpas_village,9.62,clear,29.591,8.538,0.00,13.70,world
41.02,2026-08-30 12:55:59,-25.40,4.93,-15.60,0.0,grandpas_village,9.64,clear,23.706,8.250,0.00,13.70,world
41.52,2026-08-30 12:56:00,-25.40,4.93,-15.60,0.0,grandpas_village,9.66,clear,23.706,8.250,0.00,13.70,world
42.02,2026-08-30 12:56:00,-25.40,4.93,-15.60,0.0,grandpas_village,9.68,clear,24.876,10.876,0.00,13.70,world
42.52,2026-08-30 12:56:01,-25.40,4.93,-15.60,0.0,grandpas_village,9.70,clear,24.876,10.876,0.00,13.70,world
43.02,2026-08-30 12:56:01,-25.40,4.93,-15.60,0.0,grandpas_village,9.72,clear,21.603,8.189,0.00,13.70,world
43.52,2026-08-30 12:56:02,-25.40,4.93,-15.60,0.0,grandpas_village,9.74,clear,21.603,8.189,0.00,13.70,world
44.02,2026-08-30 12:56:02,-25.40,4.93,-15.60,0.0,grandpas_village,9.76,clear,27.489,8.716,0.00,13.70,world
44.52,2026-08-30 12:56:03,-25.40,4.93,-15.60,0.0,grandpas_village,9.78,clear,27.489,8.716,0.00,13.70,world
45.02,2026-08-30 12:56:03,-25.40,4.93,-15.60,0.0,grandpas_village,9.80,clear,22.581,8.288,0.00,13.70,world
45.52,2026-08-30 12:56:04,-25.40,4.93,-15.60,0.0,grandpas_village,9.82,clear,22.581,8.288,0.00,13.70,world
46.02,2026-08-30 12:56:04,-25.40,4.93,-15.60,0.0,grandpas_village,9.84,clear,22.190,8.258,0.00,13.70,world
46.52,2026-08-30 12:56:05,-25.40,4.93,-15.60,0.0,grandpas_village,9.86,clear,22.190,8.258,0.00,13.70,world
47.02,2026-08-30 12:56:05,-25.40,4.93,-15.60,0.0,grandpas_village,9.88,clear,24.394,7.846,0.00,13.70,world
47.52,2026-08-30 12:56:06,-25.40,4.93,-15.60,0.0,grandpas_village,9.90,clear,24.394,7.846,0.00,13.70,world
48.02,2026-08-30 12:56:06,-25.40,4.93,-15.60,0.0,grandpas_village,9.92,clear,22.465,7.792,0.00,13.70,world
